# CANON, US Patent 5537259, F/2.8, 70-200mm (70)
# Variable: FL 72.10/135.00/194.01
311.919	2.80	1.7495	38
118.63	0.42	1	38
128.135	8.68	1.497	38
-263.46	0.1	1	38
79.501	5.72	1.497	35
203.191	8.78	1	35
54.391	2.2	1.847	28
45.859	1.13	1	28
51.927	8.55	1.487	28
5099.30	1.64	1	28
-488.6	1.4	1.804	18
35.390	5.88	1	18
-78.125	1.4	1.487	18
38.137	4.97	1.847	18
417.478	2.65	1	18
-66.802	1.4	1.729	18
-3363.0	30.32	1	18
247.12	3.49	1.697	19
-99.902	0.15	1	19
-189.99	4.77	1.497	19
-40.553	1.45	1.834	19
-76.277	14.7	1	19
58.421	3.53	1.804	21
133.262	3	1	21
0	0.24	0	21
34.132	6.35	1.497	21
2256.763	3.72	1.620	21
31.519	28.17	1	21
132.947	5.9	1.517	21
-77.546	13.94	1	21
-39.485	1.8	1.834	21
-95.683	0.15	1	21
147.644	3.62	1.743	21
-205.76	54.5	1	21
